Iter,Acc,Std
0,0.501280024945736,0.07780361505103436
10,0.6061600297689438,0.09697409584313249
20,0.6376800292730331,0.09360544306649404
30,0.6297600281238556,0.09467810225770773
40,0.6552000296115875,0.097563934243687
50,0.6503200304508209,0.10700457247787333
